method_A,Brainchop,CTBET,CT_BET,CTbet_Docker,HD-CTBET,Robust-CTBET,SynthStrip
Brainchop,,21.662414965986397,13.880783659858272,35.22534013605442,0.744047619047619,30.612244897959183,10.374149659863946
CTBET,,,91.57982492705294,95.93962585034014,0.08503401360544217,96.91751700680273,0.04251700680272109
CT_BET,,,,96.16506877865777,0.041684035014589414,96.37348895373073,0.041684035014589414
CTbet_Docker,,,,,0.10629251700680273,98.91581632653062,0.21258503401360546
HD-CTBET,,,,,,0.08503401360544217,17.113095238095237
Robust-CTBET,,,,,,,0.17006802721088435
SynthStrip,,,,,,,
